dish_id,gt_kcal,n_ingr,ingredients,gpt-4.1-mini,gpt-4.1,gpt-4o,claude-sonnet-4-6,claude-haiku-4-5,gemini-2.5-pro,gemini-2.5-flash,avg_pct
dish_1560367193,131.0,12,"onions, olive oil, salt, honeydew melons, green onions",8.4,6.8,90.8,87.0,117.5,178.5,167.1,93.7
dish_1561666640,48.8,2,"cantaloupe, grapes",2.5,34.4,43.4,27.0,432.8,20.9,84.4,92.2
dish_1563468199,53.5,1,pineapple,43.9,58.9,53.3,27.1,423.4,2.8,30.8,91.5
dish_1564073677,109.0,3,"scrambled eggs, olive oil, sweet potato",0.9,17.4,65.2,143.2,161.5,106.5,129.4,89.2
dish_1561060925,93.9,5,"brussels sprouts, salt, tofu, pepper, olive oil",27.8,9.5,27.8,107.6,54.4,128.9,240.7,85.2
dish_1562168648,41.6,5,"vinaigrette, raspberries, mixed greens, granola, blackberries",76.0,92.8,88.0,88.0,71.2,90.4,88.0,84.9
dish_1558639266,30.8,1,corn on the cob,212.0,4.0,43.0,169.8,52.8,56.0,56.0,84.8
dish_1562876645,220.8,15,"pepper, chicken, squash, spinach (raw), lemon juice",103.8,0.4,26.8,135.5,72.1,92.5,149.1,82.9
dish_1562787745,85.4,11,"garlic, bulgur, salt, shallots, cranberries",88.3,78.9,,78.9,93.3,85.9,70.7,82.7
dish_1562876709,304.4,17,"chicken, wheat berry, green beans, spinach (raw), zucchini",31.4,11.7,47.8,136.6,87.3,95.5,156.3,80.9
dish_1564588820,81.1,1,egg whites,81.5,26.0,50.7,72.9,103.4,62.7,156.4,79.1
dish_1560529844,91.7,3,"berries, sweet potato, watermelon",20.0,29.1,96.3,25.4,156.3,36.3,161.8,75.0
dish_1562872396,179.6,15,"thyme, garlic, lemon juice, zucchini, wheat berry",22.5,17.0,78.2,117.2,114.4,25.3,150.6,75.0
dish_1563908996,269.9,13,"onions, olive oil, pepper, tomatoes, caesar salad",66.7,37.1,66.7,100.1,5.6,107.5,140.8,74.9
dish_1565811139,902.2,6,"carrot, goat cheese, olive oil, broccoli, spinach (raw)",76.7,80.0,80.0,75.6,79.5,65.1,66.7,74.8
dish_1564689078,72.4,9,"almonds, olive oil, mustard, parsley, carrot",79.3,83.4,86.2,83.4,31.3,83.4,65.5,73.2
dish_1563304261,30.2,4,"kale, croutons, caesar dressing, parmesan cheese",17.2,25.8,297.2,82.1,20.6,49.0,17.2,72.7
dish_1562686492,160.0,1,chicken apple sausage,87.5,43.8,50.0,67.5,40.6,34.4,181.2,72.1
dish_1563913675,282.7,11,"spinach (raw), vinegar, chard, cherry tomatoes, cheese pizza",59.2,45.0,,83.9,36.2,98.1,105.2,71.3
dish_1565035746,43.1,2,"onions, cauliflower",42.0,49.0,18.8,2.6,354.8,25.8,4.4,71.1
dish_1560367296,184.4,21,"beets, mustard, tofu, vinegar, fish",51.9,7.8,35.6,41.0,182.0,106.1,73.6,71.1
dish_1561575474,120.1,5,"salt, eggplant, roasted potatoes, cauliflower, olive oil",16.6,54.2,8.4,166.5,137.4,29.2,83.2,70.8
dish_1563216659,190.1,10,"garlic, cherry tomatoes, chicken breast, spinach (raw), parmesan cheese",5.3,5.3,31.5,121.0,121.0,65.7,136.8,69.5
dish_1562173111,792.2,1,chia seeds,77.3,79.8,68.4,69.1,47.0,71.6,72.2,69.3
dish_1563550976,284.7,4,"bacon, cheese, scrambled eggs, roasted potatoes",58.1,19.4,,68.6,126.6,70.4,68.6,68.6
dish_1560800951,102.8,9,"parsley, cauliflower, kale, lemon juice, olive oil",31.9,46.5,31.9,41.0,172.3,50.7,94.5,67.0
dish_1562008780,180.8,14,"goat cheese, vinegar, chard, blueberries, arugula",80.6,82.3,72.4,69.6,47.5,36.4,75.1,66.3
dish_1562959485,45.2,9,"mixed greens, lettuce, carrot, pumpkin seeds, salt",77.9,44.7,,73.5,110.0,44.7,44.7,65.9
dish_1558110245,29.1,1,berries,48.4,48.4,3.2,24.3,226.8,20.9,72.0,63.4
dish_1568405214,144.3,13,"mustard greens, olive oil, cucumbers, kale, tomatoes",24.8,45.6,24.8,104.5,97.6,49.0,94.1,62.9
dish_1562699612,98.4,3,"brown rice, quinoa, olive oil",32.1,13.6,123.6,18.9,101.2,51.2,98.2,62.7
dish_1561060477,141.0,2,"pineapple, cheese pizza",56.0,56.0,77.3,84.4,66.6,41.8,56.0,62.6
dish_1563913741,353.1,13,"cucumbers, salt, cheese pizza, figs, mustard",47.3,33.1,55.8,75.6,19.3,92.6,112.4,62.3
dish_1558028492,20.7,1,cantaloupe,44.6,20.5,63.9,97.7,107.3,30.2,63.9,61.2
dish_1558031351,12.3,1,deprecated,22.0,2.4,22.0,95.1,119.5,22.0,143.9,61.0
dish_1566502472,132.9,10,"sun dried tomatoes, garlic, olive oil, mustard, cucumbers",69.9,75.9,73.7,45.8,9.1,75.9,73.7,60.6
dish_1558636902,39.0,1,carrot,28.4,15.5,105.4,143.9,5.3,66.9,54.0,59.9
dish_1562008738,64.1,10,"arugula, chard, vinegar, cauliflower, garlic",68.8,76.6,61.0,65.7,29.8,68.8,45.4,59.4
dish_1558724689,19.8,1,cauliflower,26.6,8.9,77.2,92.4,67.1,46.8,92.4,58.8
dish_1566501153,1006.9,7,"olives, carrot, spinach (raw), parmesan cheese, chicken",60.3,63.3,,51.3,78.6,51.8,45.4,58.4
dish_1561666619,35.9,1,grapes,5.2,66.6,49.8,24.7,192.6,33.8,33.8,58.1
dish_1567625343,65.5,3,"chard, avocado, kale",6.9,6.9,83.3,126.0,45.1,8.4,129.1,58.0
dish_1566849895,112.3,2,"olives, carrot",82.2,77.7,63.5,19.9,53.7,63.5,44.8,57.9
dish_1561062555,47.1,11,"apple, shallots, salt, bulgur, olive oil",68.1,72.4,68.1,19.3,101.7,46.9,25.7,57.5
dish_1558632198,16.8,1,garden salad,70.2,64.3,70.2,70.2,7.2,70.2,40.5,56.1
dish_1566502271,296.8,13,"chard, parsley, chive, olive oil, carrot",17.9,24.7,,108.9,29.7,33.1,119.0,55.5
dish_1558638983,59.4,1,corn on the cob,61.6,89.9,69.7,27.6,71.7,64.7,1.0,55.2
dish_1566920304,296.4,1,egg whites,49.4,69.6,74.7,68.3,3.8,41.7,77.1,54.9
dish_1562875833,156.1,14,"arugula, nopales, jicama, sour cream, corn",79.3,10.3,60.1,40.9,56.9,56.9,79.3,54.8
dish_1558114523,104.1,1,almonds,16.4,16.4,16.4,123.9,173.9,16.4,17.4,54.4
dish_1562010394,188.6,19,"pepper, garlic, cucumbers, lemon juice, parsley",52.3,70.8,,48.5,12.5,56.4,85.6,54.4
dish_1567785130,76.7,5,"raspberries, vinaigrette, granola, blackberries, mixed greens",80.4,80.4,67.4,6.1,15.2,67.4,60.9,54.0
dish_1562872914,135.4,14,"jicama, sour cream, fish, arugula, pepper",32.9,3.4,10.8,80.9,80.9,80.9,84.6,53.5
dish_1562010369,141.2,12,"carrot, pepper, olive oil, wheat berry, pork",64.6,68.1,,7.9,31.1,82.3,64.6,53.1
dish_1557937758,106.8,5,"blackberries, strawberries, yam, raspberries, eggs",31.1,48.5,40.5,63.9,11.0,38.6,134.1,52.5
dish_1566933226,245.4,13,"couscous, garlic, parsley, basil, lemon juice",42.6,10.0,,71.1,30.4,77.2,83.3,52.4
dish_1562702813,41.1,8,"cucumbers, feta cheese, onions, olives, vinaigrette",39.1,14.7,,46.4,56.2,58.3,94.9,51.6
dish_1566414412,920.1,27,"shallots, olive oil, garlic, lemon juice, basil",65.2,55.4,51.1,54.4,65.2,38.6,29.4,51.3
dish_1563897369,117.0,3,"cantaloupe, olive oil, sweet potato",40.2,18.8,28.2,37.6,69.2,17.9,139.3,50.2
dish_1559675101,13.3,1,brussels sprouts,12.5,32.5,10.0,50.0,237.6,2.5,2.5,49.7
dish_1562947020,533.1,2,"scrambled eggs, cheese",60.6,36.2,43.7,54.0,46.5,57.8,47.5,49.5
dish_1565640427,195.8,1,brownies,69.4,28.5,2.2,56.6,15.7,87.2,87.2,49.5
dish_1566415520,74.8,2,"olive oil, green beans",58.6,63.9,53.2,49.2,39.9,43.9,37.2,49.4
dish_1560456370,258.4,23,"green beans, garlic, zucchini, lemon juice, pumpkin seeds",35.5,10.3,35.5,62.5,49.0,64.5,85.8,49.0
dish_1562785132,211.5,7,"fish, country rice, onions, olive oil, garlic",4.0,8.7,51.3,46.5,34.7,82.0,112.7,48.6
dish_1556575558,103.3,3,"celery, olives, brussels sprouts",12.9,22.6,6.5,40.4,113.0,69.4,74.2,48.4
dish_1565898489,46.0,1,olives,34.8,30.4,150.0,21.7,37.0,63.0,2.2,48.4
dish_1561741174,245.8,2,"scrambled eggs, bacon",42.4,38.3,1.7,50.5,97.3,24.1,83.0,48.2
dish_1562687527,203.2,11,"radishes, berries, chicken apple sausage, vinegar, garlic",55.7,68.0,55.7,28.6,28.6,53.3,41.0,47.3
dish_1560444724,113.3,2,"watermelon, honeydew melons",60.3,57.6,47.0,33.8,27.6,57.6,47.0,47.3
dish_1566849955,147.2,4,"olives, onions, cherry tomatoes, carrot",52.4,62.6,52.4,37.5,25.7,60.6,38.8,47.1
dish_1560442226,83.8,1,berries,70.2,70.2,46.3,30.8,55.1,45.1,10.5,46.9
dish_1560357267,566.8,1,scrambled eggs,55.9,34.7,43.5,27.7,49.7,63.8,50.6,46.6
dish_1563811463,220.6,4,"olive oil, egg whites, sweet potato, cantaloupe",26.9,50.1,18.4,76.8,29.2,20.1,104.0,46.5
dish_1558640614,60.3,1,apple,29.3,57.5,27.7,37.6,59.2,55.8,57.5,46.4
dish_1563827482,894.5,11,"caesar salad, garlic, broccoli, zucchini, lime",60.9,58.6,53.0,41.9,35.2,48.0,27.3,46.4
dish_1559838402,222.8,4,"bacon, sweet potato, yam, berries",19.2,5.7,25.7,39.2,90.8,41.4,102.0,46.3
dish_1560443537,237.6,3,"berries, pineapple, grapes",62.1,62.1,53.7,34.8,34.8,39.0,36.9,46.2
dish_1566587689,196.8,9,"salmon, salt, olive oil, thyme, kale",42.2,8.6,27.0,19.4,42.2,85.4,93.0,45.4
dish_1559845018,302.4,3,"almonds, mandarin oranges, potatoes",15.7,35.6,48.8,31.6,60.4,0.9,124.8,45.4
dish_1563220087,162.7,2,"broccoli, pepperoni pizza",10.6,16.8,53.6,90.5,90.5,1.7,53.6,45.3
dish_1565033189,578.1,4,"chicken, mixed greens, broccoli, olives",44.6,41.2,44.6,46.4,57.6,36.9,44.6,45.1
dish_1560526490,141.7,15,"parsley, cucumbers, blueberries, mustard greens, almonds",36.5,68.2,,40.0,72.9,9.4,43.5,45.1
dish_1561663786,46.7,1,corn on the cob,52.9,67.9,74.3,29.3,11.4,37.9,37.9,44.5
dish_1558641007,23.4,1,carrot,14.4,7.0,49.8,11.3,41.2,135.3,49.8,44.1
dish_1566933180,161.4,12,"salt, vinegar, olive oil, garlic, thyme",73.4,36.3,23.9,8.4,36.3,51.8,73.4,43.4
dish_1558639849,23.4,1,carrot,28.4,40.1,49.8,79.7,45.5,52.9,7.0,43.3
dish_1568305257,837.1,10,"turkey bacon, salt, bell peppers, mustard, olive oil",46.2,55.8,46.2,37.9,30.7,50.4,34.3,43.1
dish_1563217993,279.7,21,"mangos, pork, garlic, onions, jalapenos",25.1,57.1,0.1,50.2,50.2,55.5,60.9,42.7
dish_1560961385,249.5,4,"sweet potato, scrambled eggs, strawberries, broccoli",27.9,27.9,27.9,52.3,14.2,54.3,92.4,42.4
dish_1565031283,252.7,13,"kale, onions, olive oil, green onions, broccoli",72.3,74.3,40.6,9.0,12.8,74.3,12.9,42.3
dish_1559244649,906.8,20,"pepper, chive, olive oil, mustard greens, walnuts",53.7,54.8,42.7,31.6,48.7,35.5,28.3,42.2
dish_1558721587,95.5,1,corn on the cob,36.1,43.4,26.7,81.1,51.8,19.4,36.1,42.1
dish_1560369122,92.1,10,"garlic, asparagus, salt, mustard, olive oil",56.5,29.4,,14.1,54.2,40.3,56.5,41.8
dish_1563207277,153.1,3,"yam, sweet potato, olive oil",70.6,70.6,,37.9,28.1,28.1,15.1,41.7
dish_1565383128,600.3,6,"parmesan cheese, cucumbers, vinaigrette, olives, chicken",46.7,46.7,53.4,46.7,35.9,34.2,25.0,41.2
dish_1565123845,268.7,12,"olive oil, zucchini, onions, cheese pizza, spinach (cooked)",30.3,0.5,30.3,56.3,93.6,9.8,67.5,41.2
dish_1563811490,268.8,5,"olive oil, sausage, cantaloupe, sweet potato, egg whites",30.2,21.9,7.0,15.3,80.4,54.4,78.6,41.1
dish_1558029278,146.1,1,bacon,38.4,43.8,84.8,21.3,43.8,25.4,26.1,40.5
dish_1560455380,61.0,10,"vinegar, almonds, olive oil, carrot, salt",18.0,75.4,18.0,39.4,42.6,26.2,59.0,39.8
dish_1564429184,389.7,1,tempeh,53.8,71.8,53.8,20.4,12.7,44.8,17.9,39.3
dish_1565210009,263.8,14,"olive oil, lemon juice, kale, onions, salt",31.8,29.9,,21.3,97.1,23.2,32.7,39.3
dish_1566838317,114.2,2,"watermelon, pineapple",60.6,66.7,29.9,8.1,49.2,35.2,24.7,39.2
dish_1558719145,547.1,4,"cantaloupe, cherry tomatoes, almonds, apple",41.5,50.6,54.3,21.4,29.6,11.3,64.5,39.0
dish_1560444985,198.9,14,"honeydew melons, pineapple, radishes, bok choy, vinegar",19.6,44.7,9.5,10.6,93.5,43.3,50.8,38.9
dish_1565024741,359.9,3,"turkey bacon, scrambled eggs, roasted potatoes",52.8,11.1,2.8,72.3,34.7,43.1,52.8,38.5
dish_1562861125,190.8,9,"bell peppers, mustard, cucumbers, salt, garlic",31.9,63.3,63.3,28.4,17.9,17.9,46.7,38.5
dish_1562704564,292.0,10,"shallots, cheese pizza, spinach (cooked), olive oil, salt",19.9,9.6,54.1,43.8,66.1,21.6,54.1,38.5
dish_1558722636,30.8,1,carrot,13.8,8.9,13.8,69.1,121.1,8.9,33.3,38.4
dish_1564518512,270.7,15,"eggplant, mushroom, spinach (cooked), cheese pizza, olive oil",18.2,0.3,29.3,51.5,9.5,53.3,103.2,37.9
dish_1565797671,39.2,2,"berries, watermelon",23.5,36.3,27.4,58.0,58.0,8.3,52.9,37.8
dish_1558721484,11.2,1,cherry tomatoes,28.3,28.3,19.4,25.4,88.2,37.3,37.3,37.7
dish_1560444592,244.4,2,"scrambled eggs, yam",10.0,10.0,14.6,59.6,108.7,16.6,43.2,37.5
dish_1558630737,22.2,1,cauliflower,12.4,19.1,12.4,70.8,61.8,12.4,70.8,37.1
dish_1558629013,26.4,1,strawberries,39.4,24.2,39.4,9.8,85.6,39.4,21.2,37.0
dish_1568401302,716.5,7,"fried rice, salt, squash, carrot, avocado",41.4,48.4,37.2,27.4,60.2,25.3,13.5,36.2
dish_1559843030,25.4,1,strawberries,37.0,21.3,25.9,25.2,92.8,37.0,13.4,36.1
dish_1565627751,68.9,2,"sweet potato, olive oil",71.0,34.7,24.8,1.3,24.5,62.5,30.6,35.6
dish_1561753075,945.7,17,"garlic, salmon, chicken thighs, onions, olive oil",45.0,45.0,41.8,23.9,48.7,33.9,10.1,35.5
dish_1561737271,762.4,5,"sausage, hash browns, pineapple, broccoli, egg whites",41.0,55.4,41.0,20.0,37.0,28.5,23.9,35.3
dish_1561662532,166.5,13,"tofu, onions, cucumbers, salt, lettuce",8.1,2.1,8.1,38.2,11.1,47.2,128.3,34.7
dish_1565809033,341.4,4,"bell peppers, onions, cherry tomatoes, tuna",35.6,38.5,41.4,28.2,42.1,37.0,18.0,34.4
dish_1560368019,437.0,11,"pizza, salt, green onions, onions, olive oil",3.0,19.0,25.9,19.0,21.0,56.8,94.5,34.2
dish_1566414723,728.8,22,"green onions, salt, white wine, olive oil, rosemary",52.0,49.2,28.7,16.3,47.9,33.5,10.8,34.1
dish_1563220987,225.0,10,"olive oil, arugula, pork, salt, onions",37.8,28.9,11.1,2.2,35.6,22.2,100.0,34.0
dish_1559933818,115.1,11,"salt, olives, garlic, mustard, vinegar",4.4,4.4,,52.1,112.9,26.0,4.3,34.0
dish_1559244417,72.8,9,"pepper, chard, blueberries, vinegar, arugula",31.3,24.5,23.6,14.9,61.6,44.2,37.3,33.9
dish_1568060697,133.9,3,"onions, avocado, mixed greens",19.5,27.0,34.4,45.7,83.0,8.3,19.5,33.9
dish_1563391959,245.8,15,"garlic, arugula, squash, onions, olive oil",10.5,41.0,13.9,58.7,0.3,56.6,54.6,33.7
dish_1564686966,153.2,9,"ketchup, millet, salt, bell peppers, olive oil",21.7,44.5,30.5,14.2,87.3,31.5,4.4,33.4
dish_1566328776,901.8,3,"chicken, cherry tomatoes, pizza",50.1,40.1,16.8,42.3,24.0,31.8,27.9,33.3
dish_1564691380,96.3,3,"green beans, olive oil, corn on the cob",48.1,42.9,16.9,53.3,46.0,21.0,3.9,33.2
dish_1563823894,368.3,14,"cucumbers, olive oil, turnips, tatsoi, parsley",5.0,40.3,22.2,41.2,41.2,31.7,49.3,33.0
dish_1558113941,296.9,2,"mixed greens, almonds",34.7,7.8,2.3,47.5,112.2,18.5,7.8,33.0
dish_1566332040,14.9,1,spinach (raw),19.7,6.4,53.8,20.4,53.8,19.7,53.8,32.5
dish_1564159520,227.2,1,bacon,20.8,34.0,34.0,39.3,7.6,52.5,38.4,32.4
dish_1564588859,183.6,4,"egg whites, greek yogurt, milk, chia seeds",2.0,23.7,2.0,6.2,68.9,71.6,52.5,32.4
dish_1562011765,423.9,13,"jalapenos, mayonnaise, olive oil, garlic, carrot",24.5,48.1,41.0,50.5,0.3,7.3,53.3,32.1
dish_1568314857,295.5,10,"salt, beef, millet, bok choy, avocado",25.6,59.4,25.6,42.1,30.3,10.3,28.6,31.7
dish_1561576295,249.1,9,"onions, cucumbers, lettuce, bell peppers, roasted potatoes",11.7,15.7,19.7,52.6,1.6,38.5,80.7,31.5
dish_1566847043,434.9,13,"carrot, garlic, salt, lemon juice, parsley",26.4,60.9,42.5,14.9,28.7,11.5,33.4,31.2
dish_1565032748,544.3,18,"beef, arugula, orange juice, mustard, onions",59.6,61.4,41.2,22.8,4.5,10.9,17.3,31.1
dish_1561661377,306.3,14,"garlic, chard, brown rice, green beans, chicken",14.3,11.0,14.3,37.1,37.1,56.7,46.9,31.1
dish_1568044496,35.4,1,watermelon,32.2,40.7,15.3,27.1,15.3,57.6,27.1,30.8
dish_1558722247,604.6,3,"almonds, cauliflower, apple",28.9,30.5,42.1,30.2,43.8,37.2,0.8,30.5
dish_1567785165,273.1,6,"mixed greens, blackberries, raspberries, sausage, vinaigrette",59.7,41.4,17.2,1.1,65.2,19.0,9.8,30.5
dish_1566931140,126.7,2,"cauliflower, avocado",13.2,44.8,,25.0,32.9,5.3,61.8,30.5
dish_1559849097,495.9,3,"almonds, pears, grapes",19.3,40.5,39.5,35.9,22.4,39.5,14.9,30.3
dish_1565884766,469.6,3,"watermelon, waffles, egg whites",25.5,42.5,46.8,34.0,26.5,15.9,19.1,30.0
dish_1561753238,298.0,14,"olive oil, arugula, brown rice, pepper, squash",7.4,12.8,17.4,7.4,27.5,52.7,84.5,30.0
dish_1562872182,41.5,2,"mushroom, bok choy",3.7,8.5,20.4,1.1,32.6,25.4,116.7,29.8
dish_1563996485,178.0,11,"salt, pepper, blueberries, chard, arugula",32.6,32.6,1.1,29.2,37.6,60.1,12.3,29.4
dish_1562008476,120.5,14,"olive oil, brussels sprouts, lemon juice, parsley, cucumbers",0.4,41.9,,20.3,53.5,10.4,49.4,29.3
dish_1563395341,143.6,1,cheese pizza,44.3,16.4,53.2,11.4,49.9,19.9,9.5,29.2
dish_1561737223,503.8,3,"sausage, broccoli, egg whites",36.5,58.3,56.3,2.7,23.6,15.6,9.2,28.9
dish_1563897870,169.3,1,oatmeal,6.3,6.3,6.3,32.9,34.7,86.0,29.9,28.9
dish_1562790295,538.7,11,"walnuts, salt, mustard, grilled chicken, blueberries",35.0,40.6,40.6,22.0,29.5,23.0,10.9,28.8
dish_1567625434,581.3,18,"salt, shallots, thyme, parsley, arugula",39.8,36.3,27.7,,44.9,16.6,0.2,27.6
dish_1558719336,24.2,1,cauliflower,23.7,25.8,3.1,23.7,36.1,23.7,56.7,27.5
dish_1565370004,570.9,4,"bacon, olive oil, scrambled eggs, green beans",21.2,31.7,38.7,24.7,32.6,22.1,21.2,27.5
dish_1558114609,540.9,4,"grapes, sausage, almonds, bacon",10.9,31.6,,27.6,17.7,0.8,75.6,27.4
dish_1562950057,320.1,2,"scrambled eggs, roasted potatoes",43.8,34.4,,21.8,20.3,31.3,12.5,27.4
dish_1563984701,275.2,1,chicken apple sausage,12.8,34.6,63.5,12.6,52.6,5.5,9.2,27.3
dish_1560453356,389.1,19,"chicken, brown rice, thyme, olive oil, basil",28.0,46.0,,20.3,26.7,19.0,23.4,27.2
dish_1565799565,240.0,3,"sweet potato, olive oil, egg whites",16.7,39.6,37.5,18.8,18.7,20.8,37.5,27.1
dish_1568060722,460.6,4,"avocado, mixed greens, onions, chicken",24.0,41.4,30.5,30.5,38.1,22.9,2.3,27.1
dish_1558376984,671.7,5,"almonds, deprecated, sausage, mixed greens, grapes",36.0,37.5,,15.1,42.7,3.5,26.5,26.9
dish_1561480439,155.2,3,"turkey bacon, pineapple, berries",9.8,29.1,22.7,12.8,83.7,25.7,3.1,26.7
dish_1568061097,146.2,1,cheese pizza,11.1,24.8,11.1,47.0,47.0,7.7,36.8,26.5
dish_1558719040,32.0,1,cantaloupe,6.1,21.8,87.7,28.3,28.3,6.4,6.4,26.4
dish_1566332116,153.6,3,"olives, spinach (raw), cucumbers",41.4,44.6,21.8,3.6,38.1,31.6,2.3,26.2
dish_1565972429,468.5,4,"olive oil, egg whites, sweet potato, salsa",25.3,42.4,25.3,8.9,17.8,23.8,38.7,26.0
dish_1566414291,345.1,3,"olive oil, roasted potatoes, quinoa",18.9,39.2,7.3,50.7,23.1,11.5,30.4,25.9
dish_1564773826,10.1,1,cherry tomatoes,0.8,20.6,10.7,38.9,48.8,10.7,50.4,25.8
dish_1558723742,375.1,4,"carrot, almonds, corn on the cob, cauliflower",44.0,38.7,,24.0,8.0,33.4,6.6,25.8
dish_1563813833,256.9,2,"sausage, egg whites",9.0,33.8,29.9,31.9,4.6,34.3,36.3,25.7
dish_1563567319,398.6,12,"fish, cherry tomatoes, salt, wheat berry, chard",19.7,47.3,37.3,2.9,21.7,21.0,29.8,25.7
dish_1559242568,116.1,1,pears,22.5,17.3,50.9,16.5,18.2,12.2,41.4,25.6
dish_1563555100,190.9,2,"cantaloupe, scrambled eggs",5.7,10.0,15.2,62.4,49.3,5.3,30.9,25.5
dish_1564685482,851.4,17,"millet, steak, olive oil, pizza, lime",35.4,21.3,23.7,8.4,43.0,15.1,29.2,25.2
dish_1565711183,460.4,11,"blackberries, vinaigrette, bacon, granola, mixed greens",13.1,52.2,52.2,32.7,3.3,20.7,2.3,25.2
dish_1558031133,136.5,1,yam,12.1,40.7,4.8,13.6,79.5,20.9,4.8,25.2
dish_1568048018,496.8,4,"turkey bacon, olive oil, scrambled eggs, broccoli",29.5,35.6,35.6,4.7,4.7,34.6,29.5,24.9
dish_1566846997,343.7,12,"jalapenos, wheat berry, pork, mayonnaise, pepper",41.8,36.0,1.8,15.6,18.5,28.7,30.9,24.8
dish_1562009182,306.2,20,"pepper, mustard, pecans, brussels sprouts, parsley",28.2,4.5,14.3,37.2,6.9,35.5,46.9,24.8
dish_1558628339,70.3,1,bacon,13.7,28.0,56.4,7.6,35.1,23.2,6.6,24.4
dish_1562613918,133.7,13,"apple, shallots, bulgur, salt, lemon juice",47.6,47.6,10.2,4.7,38.4,1.0,21.4,24.4
dish_1565811588,348.5,18,"garlic, radishes, jalapenos, chicken thighs, olive oil",65.6,51.2,28.3,6.2,8.2,1.0,9.0,24.2
dish_1568665935,154.2,1,cheese pizza,9.2,9.2,42.7,36.2,39.4,15.7,16.7,24.2
dish_1558630814,196.6,1,almonds,26.2,38.9,12.0,25.7,12.0,41.0,12.0,24.0
dish_1566933498,318.5,18,"pepper, wine, eggplant, mushroom, squash",30.9,34.1,,2.7,23.1,20.9,31.9,23.9
