dish_id,gt_kcal,gt_ingr_count,gt_ingr,gpt-4.1-mini__kcal_est,gpt-4.1-mini__pct_err,gpt-4.1-mini__dish_ru,gpt-4.1__kcal_est,gpt-4.1__pct_err,gpt-4.1__dish_ru,gpt-4o__kcal_est,gpt-4o__pct_err,gpt-4o__dish_ru,claude-sonnet-4-6__kcal_est,claude-sonnet-4-6__pct_err,claude-sonnet-4-6__dish_ru,claude-haiku-4-5__kcal_est,claude-haiku-4-5__pct_err,claude-haiku-4-5__dish_ru,gemini-2.5-pro__kcal_est,gemini-2.5-pro__pct_err,gemini-2.5-pro__dish_ru,gemini-2.5-flash__kcal_est,gemini-2.5-flash__pct_err,gemini-2.5-flash__dish_ru
dish_1558113941,296.9,2,"mixed greens, almonds",400.0,34.7,миндаль с салатом из шпината и моркови,320.0,7.8,Салат из шпината с миндалём,290.0,2.3,Салат из шпината с миндалем,438.0,47.5,Салат из шпината с миндалём и морковью,630.0,112.2,Миндаль с шпинатом и морковью,242.0,18.5,Миндаль со шпинатом и морковью,320.0,7.8,Миндаль и салат из шпината с морковью
dish_1558114523,104.1,1,almonds,87.0,16.4,миндаль сырый,87.0,16.4,миндаль на тарелке,87.0,16.4,Миндаль,233.0,123.9,Йогурт с миндалём,285.0,173.9,Йогурт с миндалём,87.0,16.4,Миндаль,86.0,17.4,Миндаль
dish_1558114609,540.9,4,"grapes, sausage, almonds, bacon",600.0,10.9,"Бекон, колбаски, виноград и миндаль",370.0,31.6,"Закуска с беконом, колбасками, виноградом и миндалём",,,,690.0,27.6,"Закусочная тарелка: бекон, жареные сосиски, виноград, миндаль",445.0,17.7,"Закуска с беконом, виноградом, миндалём и жареными грибами",545.0,0.8,"Закуска с колбасками, беконом, миндалем и виноградом",950.0,75.6,"Завтрак с беконом, колбасками, миндалем и виноградом"
dish_1558373008,251.6,1,sausage,280.0,11.3,Жареная колбаса,250.0,0.6,Жареная колбаса (нарезка),277.0,10.1,Финики,170.0,32.4,Финики свежие (или сушёные),213.0,15.3,Финики,220.0,12.5,Нарезанная копченая колбаса,250.0,0.6,Нарезанные сосиски или колбаски
dish_1558373639,5.6,1,mixed greens,10.0,78.6,шпинат с морковью,8.0,42.9,Салат из шпината с морковью,15.0,167.9,Салат из шпината с морковью,52.0,828.6,Жареные перцы падрон с морковью,65.0,1060.7,Зелёный салат со шпинатом и помидорами,7.0,25.0,Салат из шпината с морковью,15.0,167.9,Шпинат с морковью
dish_1558376984,671.7,5,"almonds, deprecated, sausage, mixed greens, grapes",430.0,36.0,"Закуска из яблока, миндаля, винограда, шпината и колбасы",420.0,37.5,"Ассорти из яблока, миндаля, винограда, колбасы и шпината",,,,570.0,15.1,"Снэк-тарелка: яблоко, миндаль, виноград, колбаски, зелень",385.0,42.7,"Ассорти из фруктов, орехов и ягод",695.0,3.5,"Тарелка с закусками (яблоко, миндаль, колбаски, виноград)",850.0,26.5,"Сбалансированный перекус с яблоком, миндалем, виноградом, колбасками и шпинатом"
dish_1558380527,386.0,1,sausage,300.0,22.3,Жареная колбаса,370.0,4.1,"Жареная колбаса, нарезанная кружочками",450.0,16.6,Жареная колбаса,405.0,4.9,"Жареная колбаса (сосиски), нарезанная кружочками",465.0,20.5,Жареные сосиски,380.0,1.5,Нарезанная жареная колбаса,450.0,16.6,Нарезанные жареные колбаски
dish_1558381819,22.1,1,tomatoes,18.0,18.6,Помидоры черри,16.0,27.6,Свежие помидоры черри,18.0,18.6,Помидоры черри,22.0,0.5,Черри-томаты,27.0,22.2,Помидоры черри в миске,18.0,18.6,Помидоры черри,16.0,27.6,Помидоры черри
dish_1558457468,23.8,1,cantaloupe,17.0,28.6,Дыня нарезанная,32.0,34.5,кубики дыни канталупы,60.0,152.1,Дыня кусочками,112.0,370.6,Йогурт с кусочками дыни,36.0,51.3,Тыква отварная,51.0,114.3,Нарезанная дыня канталупа,51.0,114.3,Кусочки дыни
dish_1558459664,383.1,5,"white rice, almonds, spinach (raw), cherry tomatoes, grapes",400.0,4.4,"Рис с миндалём, виноградом, помидорами и шпинатом",320.0,16.5,"Рис с миндалём, виноградом, шпинатом и черри",320.0,16.5,"Рис с овощами, виноградом, миндалем и шпинатом",430.0,12.3,"Боул с рисом, миндалём, виноградом, черри и шпинатом",520.0,35.8,"Миска с рисом, миндалём, виноградом и помидорами",430.0,12.3,"Тарелка с рисом, миндалем, виноградом, томатами и шпинатом",650.0,69.7,"Рис с миндалем, виноградом, шпинатом и томатами черри"
dish_1558468494,15.8,1,squash,60.0,280.1,Обжаренные кабачки и желтый кабачок,12.0,24.0,Овощи на пару (цукини и жёлтый кабачок),30.0,90.1,Овощной гарнир из кабачков и цукини,75.0,375.1,Тушёные кабачки и патиссоны,145.0,818.6,Жареные кабачки с картофелем,25.0,58.4,Обжаренные кабачки и цуккини,25.0,58.4,Тушеные кабачки и цукини
dish_1558468632,169.9,1,chicken,198.0,16.5,Кусочки вареной куриной грудки,132.0,22.3,"Куриная грудка, отварная, нарезанная кубиками",165.0,2.9,Кусочки куриной грудки,165.0,2.9,"Отварная куриная грудка, нарезанная кубиками",165.0,2.9,Вареная куриная грудка нарезанная кубиками,132.0,22.3,Нарезанная куриная грудка,198.0,16.5,"Куриное филе, нарезанное кубиками"
dish_1558550218,230.0,3,"almonds, grapes, apple",160.0,30.4,"яблоко, миндаль и виноград",210.0,8.7,"Яблоко, миндаль и виноград",,,,248.0,7.8,Яблоко с миндалём и виноградом,235.0,2.2,Здоровый перекус с фруктами и орехами,245.0,6.5,Фруктово-ореховый перекус,390.0,69.6,Фруктово-ореховая тарелка
dish_1558628339,70.3,1,bacon,80.0,13.7,жареный бекон,90.0,28.0,Жареный бекон,110.0,56.4,Жареный бекон,65.0,7.6,Жареный бекон,95.0,35.1,Креветка жареная,54.0,23.2,Жареный бекон,75.0,6.6,Жареный бекон
dish_1558629013,26.4,1,strawberries,16.0,39.4,Клубника свежая,20.0,24.2,нарезанная клубника,16.0,39.4,Кусочки клубники,29.0,9.8,Нарезанная клубника,49.0,85.6,Нарезанная клубника,16.0,39.4,Нарезанная клубника,32.0,21.2,Нарезанная клубника
dish_1558630737,22.2,1,cauliflower,25.0,12.4,Цветная капуста сырая,18.0,19.1,Сырые соцветия цветной капусты,25.0,12.4,Цветная капуста (сырая),38.0,70.8,Отварная цветная капуста,36.0,61.8,Вареная цветная капуста,25.0,12.4,Отварная цветная капуста,38.0,70.8,Цветная капуста
dish_1558630814,196.6,1,almonds,145.0,26.2,миндаль сырый,120.0,38.9,миндаль,173.0,12.0,Миндаль,146.0,25.7,Миндаль очищенный,173.0,12.0,Миндаль жареный,116.0,41.0,Миндаль,173.0,12.0,Миндаль
dish_1558632198,16.8,1,garden salad,5.0,70.2,Салат из листьев салата,6.0,64.3,Салат из листьев с кукурузой,5.0,70.2,Салат из листьев с кукурузой,5.0,70.2,Микс салатных листьев,18.0,7.2,Салат из листовой зелени,5.0,70.2,Салат из зелени с кукурузой,10.0,40.5,Микс салата с кукурузой
dish_1558636902,39.0,1,carrot,50.0,28.4,варёная морковь,45.0,15.5,Тушёная морковь,80.0,105.4,Запечённая морковь,95.0,143.9,Тушёная/глазированная морковь,41.0,5.3,Морковь отварная,65.0,66.9,Глазированная морковь,60.0,54.0,Тушеная морковь
dish_1558637698,12.2,1,cauliflower,20.0,63.3,цветная капуста вареная,20.0,63.3,Цветная капуста отварная,25.0,104.1,Цветная капуста (отварная или сырая),30.0,144.9,Варёная цветная капуста,33.0,169.4,Отварная цветная капуста,25.0,104.1,Отварная цветная капуста,38.0,210.2,Отварная цветная капуста
dish_1558637932,248.3,4,"corn on the cob, apple, cauliflower, grapes",140.0,43.6,Фрукты и овощи свежие,170.0,31.5,Овощи и фрукты на тарелке,180.0,27.5,Фрукты и овощи на тарелке,198.0,20.3,Тарелка свежих фруктов и овощей,198.0,20.3,Фруктовая и овощная тарелка,215.0,13.4,Фруктово-овощная тарелка,260.0,4.7,Фруктово-овощная тарелка
dish_1558638844,80.1,1,apple,78.0,2.6,Яблоко свежее,95.0,18.6,Яблоко,77.0,3.8,Яблоко,83.0,3.6,Яблоко свежее,95.0,18.6,Яблоко красное сырое,94.0,17.4,Яблоко,94.0,17.4,Яблоко
dish_1558638983,59.4,1,corn on the cob,96.0,61.6,Кукуруза вареная,6.0,89.9,Остаток початка варёной кукурузы,18.0,69.7,Кукурузный початок (остаток),43.0,27.6,Кусок варёной кукурузы (поперечный срез),102.0,71.7,Кукуруза вареная,21.0,64.7,Остатки кукурузы на початке,60.0,1.0,Кукуруза в початке (половина)
dish_1558639266,30.8,1,corn on the cob,96.0,212.0,Кукуруза вареная,32.0,4.0,Кусочек варёной кукурузы,44.0,43.0,Кусок варёной кукурузы,83.0,169.8,Варёная кукуруза (кусок початка),47.0,52.8,Половина кукурузы в початке,48.0,56.0,Кусок вареной кукурузы,48.0,56.0,Кусочек вареной кукурузы
dish_1558639526,32.0,1,carrot,41.0,28.2,варёная морковь,25.0,21.8,"Морковь, нарезанная ломтиками",41.0,28.2,"Морковь, нарезанная ломтиками",42.0,31.3,Варёная морковь,34.0,6.3,Нарезанная морковь,28.0,12.4,Отварная морковь,35.0,9.4,Отварная морковь
dish_1558639849,23.4,1,carrot,30.0,28.4,вареная морковь,14.0,40.1,Отварная морковь,35.0,49.8,Варёная морковь,42.0,79.7,Варёная морковь кусочками,34.0,45.5,Отварная морковь,11.0,52.9,Вареная морковь,25.0,7.0,Отварная морковь
dish_1558639876,68.2,3,"carrot, cantaloupe, cauliflower",70.0,2.7,"Овощная тарелка с цветной капустой, морковью и дыней",60.0,12.0,"Овощная тарелка с морковью, дыней и цветной капустой",70.0,2.7,Овощная тарелка,95.0,39.3,"Отварные овощи: морковь, тыква и цветная капуста",485.0,611.4,Тарелка с овощами и сосисками,68.0,0.3,Нарезанные овощи,85.0,24.7,"Овощное ассорти: морковь, тыква, цветная капуста"
dish_1558640614,60.3,1,apple,78.0,29.3,Яблоко свежее,95.0,57.5,Яблоко,77.0,27.7,Яблоко,83.0,37.6,Яблоко,96.0,59.2,Красное яблоко,94.0,55.8,Яблоко,95.0,57.5,Яблоко
dish_1558641007,23.4,1,carrot,20.0,14.4,варёная морковь,25.0,7.0,отварная морковь,35.0,49.8,Варёная морковь,26.0,11.3,Варёная морковь,33.0,41.2,Вареная морковь,55.0,135.3,Глазированная морковь,35.0,49.8,Морковь отварная
dish_1558719040,32.0,1,cantaloupe,30.0,6.1,Дыня нарезанная,25.0,21.8,нарезанная дыня канталупа,60.0,87.7,Нарезанная дыня,41.0,28.3,Нарезанная дыня,41.0,28.3,Морковь отварная нарезанная,34.0,6.4,Нарезанная дыня,34.0,6.4,Нарезанная дыня
dish_1558719145,547.1,4,"cantaloupe, cherry tomatoes, almonds, apple",320.0,41.5,Фрукты и орехи,270.0,50.6,Фруктово-ореховая тарелка с помидорами черри,250.0,54.3,"Фрукты, орехи и помидоры черри",430.0,21.4,Фруктово-овощная тарелка с орехами,385.0,29.6,Фруктовая и ореховая закуска,485.0,11.3,Фруктово-ореховый перекус с томатами,900.0,64.5,Фруктово-ореховая тарелка
dish_1558719336,24.2,1,cauliflower,30.0,23.7,цветная капуста вареная,18.0,25.8,Сырые соцветия цветной капусты,25.0,3.1,Цветная капуста (отварная или приготовленная на пару),30.0,23.7,Варёная цветная капуста,33.0,36.1,Отварная цветная капуста,30.0,23.7,Отварная цветная капуста,38.0,56.7,Отварная цветная капуста
dish_1558719570,74.4,1,apple,80.0,7.6,яблоко свежее,95.0,27.8,Яблоко на тарелке,77.0,3.6,Яблоко на тарелке,78.0,4.9,Яблоко свежее,95.0,27.8,Яблоко красное свежее,94.0,26.4,Яблоко,94.0,26.4,Яблоко
dish_1558721434,99.9,4,"cherry tomatoes, carrot, cauliflower, cantaloupe",90.0,9.9,"Овощной салат из цветной капусты, черри, моркови и дыни",80.0,19.9,"Овощная тарелка с цветной капустой, морковью, помидорами черри и дыней",90.0,9.9,Овощная тарелка,118.0,18.1,Овощная нарезка с дыней,145.0,45.1,Тарелка с овощами на пару,121.0,21.1,Овощная тарелка,120.0,20.1,"Овощная тарелка: цветная капуста, морковь, томаты черри, тыква"
dish_1558721484,11.2,1,cherry tomatoes,8.0,28.3,Помидоры черри,8.0,28.3,Свежие помидоры черри,9.0,19.4,Черри помидоры,14.0,25.4,Черри-томаты,21.0,88.2,Помидоры черри,7.0,37.3,Помидоры черри,7.0,37.3,Помидоры черри
dish_1558721587,95.5,1,corn on the cob,130.0,36.1,кукуруза вареная,54.0,43.4,Кукуруза отварная (куски початка),70.0,26.7,Кукуруза варёная,18.0,81.1,Выжатый лимон (половинки),145.0,51.8,Жареные кольца кукурузы,77.0,19.4,Отварная кукуруза,130.0,36.1,Кукуруза в початках
dish_1558721726,74.4,1,apple,78.0,4.9,яблоко свежее,95.0,27.8,Яблоко,77.0,3.6,Яблоко,93.0,25.1,Яблоко свежее,95.0,27.8,Яблоко красное,94.0,26.4,Яблоко,95.0,27.8,Яблоко
dish_1558722207,83.2,1,apple,80.0,3.8,яблоко свежее,95.0,14.2,яблоко,77.0,7.5,Яблоко,83.0,0.2,Яблоко,93.0,11.8,Яблоко красное,94.0,13.0,Яблоко,95.0,14.2,Яблоко
dish_1558722247,604.6,3,"almonds, cauliflower, apple",430.0,28.9,"миндаль, цветная капуста и яблоко",420.0,30.5,"Яблоко, миндаль и цветная капуста на тарелке",350.0,42.1,"Яблоко, миндаль и цветная капуста",422.0,30.2,"Миндаль, яблоко и цветная капуста (снэк-тарелка)",340.0,43.8,"Здоровая закуска с яблоком, миндалем и цветной капустой",380.0,37.2,"Перекус с яблоком, миндалем и цветной капустой",600.0,0.8,"Яблоко, миндаль и цветная капуста"
dish_1558722398,83.7,1,apple,78.0,6.8,яблоко свежее,95.0,13.5,яблоко,77.0,8.0,Яблоко,83.0,0.9,Яблоко свежее,95.0,13.5,Красное яблоко,94.0,12.3,Яблоко,94.0,12.3,Яблоко
dish_1558722636,30.8,1,carrot,35.0,13.8,варёная морковь,28.0,8.9,отварная морковь,35.0,13.8,Отварная морковь,52.0,69.1,Варёная морковь кружочками,68.0,121.1,Тушёная морковь,28.0,8.9,Отварная морковь,41.0,33.3,Нарезанная морковь
dish_1558723047,31.6,1,cantaloupe,20.0,36.7,нарезанная морковь,21.0,33.6,кусочки сырой моркови,34.0,7.5,Нарезанная дыня,33.0,4.4,Нарезанная сырая морковь,36.0,13.9,Нарезанная морковь,25.0,20.9,Нарезанная морковь,41.0,29.7,Нарезанная морковь
dish_1558723742,375.1,4,"carrot, almonds, corn on the cob, cauliflower",210.0,44.0,Овощи и орехи на тарелке,230.0,38.7,Овощная тарелка с миндалём,,,,285.0,24.0,Овощная тарелка с миндалём,405.0,8.0,Тарелка с нарезанными овощами и орехами,250.0,33.4,Овощная тарелка с миндалем,400.0,6.6,Овощная тарелка с миндалем
dish_1558724689,19.8,1,cauliflower,25.0,26.6,цветная капуста вареная,18.0,8.9,Сырые соцветия цветной капусты,35.0,77.2,Отварная цветная капуста,38.0,92.4,Отварная цветная капуста,33.0,67.1,Отварная цветная капуста,29.0,46.8,Отварная цветная капуста,38.0,92.4,Отварная цветная капуста
dish_1558724766,83.7,1,apple,80.0,4.4,яблоко свежее,95.0,13.5,Яблоко,77.0,8.0,Яблоко,83.0,0.9,Яблоко свежее,95.0,13.5,Яблоко свежее,94.0,12.3,Яблоко,94.0,12.3,Яблоко
dish_1558725253,34.0,1,broccoli,35.0,3.1,брокколи варёная,28.0,17.5,отварная брокколи,35.0,3.1,Отварная брокколи,41.0,20.8,Варёная брокколи,52.0,53.2,Брокколи отварная,35.0,3.1,Брокколи на пару,,,
dish_1558725621,349.2,3,"brussels sprouts, almonds, cauliflower",280.0,19.8,Ассорти из овощей и орехов,210.0,39.9,Овощная тарелка с миндалём,250.0,28.4,Овощи с миндалем,320.0,8.4,"Овощная тарелка с орехами (брюссельская капуста, цветная капуста, морковь, миндаль)",365.0,4.5,Овощная тарелка с орехами,285.0,18.4,Овощной перекус с миндалем,500.0,43.2,Овощное ассорти с миндалем
dish_1559062051,56.2,1,sweet potato,120.0,113.4,жареный картофель,70.0,24.5,Запечённый картофель кусочками,100.0,77.8,Запечённый картофель,175.0,211.2,Жареный картофель кусочками,168.0,198.7,Жареный картофель,46.0,18.2,Запеченный картофель,190.0,237.8,Жареный картофель
dish_1559233102,183.5,1,scrambled eggs,230.0,25.3,скрэмбл из яиц с овощами,210.0,14.4,яичница-болтунья,210.0,14.4,Яичница-болтунья,220.0,19.9,Яичница-болтунья (скрэмбл),185.0,0.8,Яичница-болтушка,215.0,17.2,Скрэмбл (яичница-болтунья),230.0,25.3,Яичница-скрэмбл
dish_1559239369,130.9,3,"berries, spinach (raw), orange",90.0,31.3,"Салат из шпината с клубникой, черникой и мандарином",75.0,42.7,"Салат из шпината с клубникой, черникой, морковью и мандарином",110.0,16.0,Салат с фруктами и шпинатом,118.0,9.9,"Фруктово-овощной салат со шпинатом, клубникой и мандарином",145.0,10.8,Салат со шпинатом и ягодами с фруктами,115.0,12.2,Фруктово-овощной салат,180.0,37.5,Фруктово-овощная тарелка
dish_1559242568,116.1,1,pears,90.0,22.5,груша свежая,96.0,17.3,груша на тарелке,57.0,50.9,Груша,97.0,16.5,Груша свежая,95.0,18.2,Зелёное яблоко,102.0,12.2,Гуава,68.0,41.4,Гуава
dish_1559244417,72.8,9,"pepper, chard, blueberries, vinegar, arugula",50.0,31.3,Салат из свежих листьев шпината с орехами,55.0,24.5,Салат из рукколы с орехами,90.0,23.6,Салат из зелени с орехами,62.0,14.9,Салат из рукколы с кедровыми орешками,28.0,61.6,Салат из свежей зелени с овощами,105.0,44.2,Салат с рукколой и кедровыми орешками,100.0,37.3,Салат из рукколы с кедровыми орешками
dish_1559244649,906.8,20,"pepper, chive, olive oil, mustard greens, walnuts",420.0,53.7,"Курица с зеленью, нут с овощами и фалафель",410.0,54.8,"Курица с овощами, котлеты из фасоли, салат из рукколы",520.0,42.7,"Курица с овощами, салатом и котлетами",620.0,31.6,"Тарелка с курицей, рисом, салатом из рукколы, нутом с овощами и мясными шариками",465.0,48.7,Мясное блюдо с овощами и зеленью,585.0,35.5,"Запеченная курица с салатом из нута, фалафелем и рукколой",650.0,28.3,"Курица с рисом, нутом, рукколой и котлетами из чечевицы"
dish_1559675101,13.3,1,brussels sprouts,15.0,12.5,Капуста брюссельская варёная,9.0,32.5,варёная брюссельская капуста,12.0,10.0,"Брюссельская капуста, приготовленная на пару",20.0,50.0,Брюссельская капуста приготовленная,45.0,237.6,Жареные кабачки,13.0,2.5,Брюссельская капуста,13.0,2.5,Брюссельская капуста
dish_1559678651,107.9,13,"ketchup, jalapenos, fish, salt, bell peppers",140.0,29.8,Салат с запечённой рыбой,160.0,48.3,Салат с куриной грудкой и овощами,220.0,104.0,Салат с курицей и овощами,310.0,187.4,Рыба в кляре с салатом из листовых овощей,165.0,53.0,Салат с рыбой и овощами,315.0,192.1,Салат Цезарь с курицей,280.0,159.6,Рыба с овощным салатом
dish_1559838402,222.8,4,"bacon, sweet potato, yam, berries",180.0,19.2,запечённые овощи с ягодами и беконом,210.0,5.7,Запечённый картофель и батат с ягодами и беконом,280.0,25.7,Запечённый картофель с ягодами и беконом,310.0,39.2,Завтрак: запечённые овощи с беконом и ягодами,425.0,90.8,"Завтрак с беконом, картофелем и ягодами",315.0,41.4,"Завтрак с запеченными овощами, беконом и ягодами",450.0,102.0,"Завтрак с ягодами, жареным картофелем и беконом"
dish_1559843030,25.4,1,strawberries,16.0,37.0,Клубника свежая,20.0,21.3,нарезанная клубника,32.0,25.9,Нарезанная клубника,19.0,25.2,Нарезанная клубника,49.0,92.8,Нарезанная клубника,16.0,37.0,Нарезанная клубника,22.0,13.4,Нарезанная клубника
dish_1559844366,529.2,3,"almonds, broccoli, grapes",600.0,13.4,миндаль с брокколи и черри,420.0,20.6,"Миндаль, брокколи и красный виноград",550.0,3.9,"Снек с миндалем, брокколи и виноградом",415.0,21.6,"Тарелка с миндалём, черри и брокколи",640.0,20.9,Ассорти из орехов и ягод с мятой,341.0,35.6,"Перекус с миндалем, виноградом и брокколи",690.0,30.4,"Миндаль, брокколи и виноград"
dish_1559845018,302.4,3,"almonds, mandarin oranges, potatoes",350.0,15.7,"миндаль, запечённый картофель, мандарин",410.0,35.6,"Жареный картофель, миндаль, мандарин",450.0,48.8,Жареный картофель с миндалем и мандарином,398.0,31.6,"Миндаль, жареный картофель и мандарин",485.0,60.4,Жареный картофель с орехами и мандарином,305.0,0.9,"Перекус с миндалем, запеченным картофелем и мандарином",680.0,124.8,Жареный картофель с миндалем и мандарином
dish_1559846528,322.7,3,"pears, broccoli, almonds",280.0,13.2,Груша с миндалём и брокколи,260.0,19.4,"Груша, миндаль и брокколи на тарелке",,,,265.0,17.9,"Перекус: миндаль, брокколи и груша",285.0,11.7,Овощная тарелка с орехами и фруктом,274.0,15.1,"Здоровый перекус с грушей, миндалем и брокколи",450.0,39.4,"Брокколи, миндаль и груша"
dish_1559848882,143.1,2,"mandarin oranges, pears",150.0,4.8,Фрукты: мандарин и груша,110.0,23.1,груша и мандарин,120.0,16.1,Фрукты на тарелке,112.0,21.7,Фрукты: мандарин и груша,165.0,15.3,Фрукты (апельсин и яблоко),128.0,10.5,Фрукты на тарелке,120.0,16.1,Фрукты: мандарин и груша
dish_1559849097,495.9,3,"almonds, pears, grapes",400.0,19.3,Фрукты и орехи,295.0,40.5,"Груша, миндаль и помидоры черри",300.0,39.5,"Груша, миндаль и помидоры черри",318.0,35.9,"Снэк-тарелка: черри-томаты, миндаль и гуава",385.0,22.4,Фруктово-ореховая тарелка,300.0,39.5,Фруктовая тарелка с орехами,570.0,14.9,Фруктово-ореховый перекус
dish_1559933818,115.1,11,"salt, olives, garlic, mustard, vinegar",110.0,4.4,Жареная брюссельская капуста с салатом из листьев,110.0,4.4,Жареная брюссельская капуста с миксом зелёного салата,,,,175.0,52.1,Жареная брюссельская капуста с зелёным салатом,245.0,112.9,Жареная брюссельская капуста с зелёным салатом,145.0,26.0,Жареная брюссельская капуста с зеленым салатом,120.0,4.3,Салат из микс-зелени с жареной брюссельской капустой
dish_1559934679,160.8,13,"quinoa, wine, eggplant, mushroom, chicken thighs",320.0,98.9,Курица с киноа и салат с заправкой,270.0,67.9,Курица с зеленью и салат Цезарь,350.0,117.6,Салат с курицей и гарниром,520.0,223.3,Жареное мясо с кускусом и шпинатом + салат Цезарь с тыквой,385.0,139.4,Говяжий фарш с овощным гарниром,485.0,201.5,Запеченная курица с киноа и салат Цезарь,650.0,304.1,"Курица с кускусом и шпинатом, салат из айсберга с сухариками"
